A certain	Egia
To talk to him	Berarekin hitz egitea
To talk against him	Haren kontra hitz egitea
To talk slowly	Astiro hitz egitea
To talk in one's sleep	Baten ametsetan hitz egitea
To talk to oneself	Norberarekin hitz egitea
To talk about it incessantly	Horretaz etengabe hitz egiteko
To talk back to him	Berriro berarekin hitz egiteko
To talk for it	Horregatik hitz egiteko
To talk him into it	Bertan hitz egiteko
To talk it up	Goitik hitz egiteko
To talk him out of it	Horretaz hitz egiteko
To talk nasty about it	Horri buruz desatsegin hitz egiteko
To talk to him	Berarekin hitz egitea
To talk to him on the telephone	Telefonoan berarekin hitz egiteko
To talk too long	Denbora gehiegi hitz egiteko
To try to get it to talk	Hitz egiten lortzeko
To start to talk on the telephone	Telefonoz hitz egiten hasteko
To be equally tall	Berdin altua izateko
To start to tame it	Hezten hasteko
To tan hides	Beltzarantzeko, ezkutuan
To tan it	Beltzarantzeko
To start to tan it	Belzten hasteko
To get tangled up with it	Harekin nahasteko
To sit tapping one's foot on the floor	Lurrean oin bat ukituz esertzeko
Tapering	Tapering-a
Black tarantula	Tarantula beltza
Red tarantula	Tarantula gorria
Gunnery target	Gunneryren helburua
Pitching target	Merkaturatze-helburua
Archery target	Arku-tiroaren helburua
Knife throwing target	Objektiboa jaurtitzeko aizto
Spear throwing target	Jaurtiketa objektiboa
Tassels	Tasak
To sample things by tasting them	Gauzak probatzeko
To tattoo oneself	Norberaren burua tatuatzeko
To become taut	Taut izatera iristeko
To hold it taut	Taut-ari eusteko
To pull it taut	Taut jaurtitzeko
Mt. Taylor	M. Taylor Taylor
To be teaching it to oneself	Bere buruari irakasten aritzea
To teach it	Irakasteko
To teach it to him	Berari erakusteko
To teach it to oneself	Bere buruari erakutsi
To be on the verge of tears	Malkoen ertzean egotea
To break into tears	Malkoak hausteko
To make a series of tears in it	Malko batzuk egiteko
To tear	Urratzeko
To tear a hole in it	Zulo bat urratzeko
To tear apart	Aparte urratzeko
To tear a strip from it	Tira bat abiarazteko
To tear it apart into several pieces	Hainbat piezatan bereizteko
To tear it from end to end	Muturretik muturrera urruntzeko
To tear it into strips	Zerrendatan urratzeko
To tear it off	Abiarazteko
To tear it off him	Bertatik abiarazteko
To tear it off oneself	Bere buruarengandik abiarazteko
To tear it out	Kanpora ateratzeko
To tear it repeatedly	Behin eta berriz hazka egiteko
To tear them out one after another	Bata bestearen atzetik ateratzeko
To share it with him by tearing it apart	Harekin partekatzeko, aparte urratuz
To start to tear it in two	Bitan harrotzen hasteko
To have one teat missing bibe'k'is	Teat bat izateko bibe'k'is falta da
Area between the lower or upper front teeth and the gums	Beheko edo goiko aurreko hortzen eta oienen arteko eremua
Gap between teeth	Hortzen arteko arraila
Space between the teeth	Hortzen arteko tartea
To have a good set of teeth	Hortz multzo ona izateko
To sink one's teeth into it	Hortzak hondoratzeko, bat bertan
To take out false teeth	Hortz faltsuak ateratzeko
They sank their teeth into each other	Hortzak hondoratu egin ziren
To send him a telegram	Telegrama bat bidaltzeko
To start to talk on the telephone	Telefonoz hitz egiten hasteko
To look with a telescope	Teleskopio batekin begiratzeko
Television antenna	Telebistako antena
To be told about	Honi buruz kontatzeko:
To be telling the truth	Egia esaten aritzea
To tell	Esateko
To tell about oneself	Norberari buruz hitz egiteko
To tell each other	Elkarri esateko
To tell each other about it	Elkarri buruz kontatzeko
To tell him about it	Horren berri emateko
To tell him a dirty joke	Txantxa zikin bat esateko
To tell him again	Berriro esateko
To tell him to	Berari esateko
To tell it to him	Berari esateko
To tell more than one intended	Norentzat den bat baino gehiago esateko
To tell the truth	Egia esateko
To tell them	Haiei esateko
To tell things	Gauzak esateko
To tell too much	Gehiegi esateko
To tempt him	Tentatzea
Ten times	Hamar aldiz
The tenth one	Hamaikagarrena
Ten bits	Hamar bit
Ten cents	Hamar zentabo
Ten card coon-can	Hamar coon-can txartel
Ten spot	Hamar puntu
Ten of hearts	Hamar bihotz
Ten of spades	Hamar lagun
Ten of diamonds	Hamar diamante
Ten of clubs	Hamar klub
Spinal neck tendons	Bizkarrezur-lepoko tendoiak
Tendon in the ankle of humans	Tendoia gizakien orkatilan
Tendon in the hind leg of animals	Tendoia animalien atzeko hankan
Tendon of the foot	Oinaren tendoia
Tendon of the hand	Eskuko tendoia
Tent camp	Karpa-kanpalekua
Tent pole	Dendako zutoina
To terminate	Amaitzeko
To be on bad terms with him	Harekin egoera txarrean egotea
To get back on speaking terms with him	Harekin berriro hitz egiteko
Terrible	Izugarria
Terrible place	Leku beldurgarria
It's terribly heavy	Oso astuna da
It's terribly long	Oso luzea da
It's terribly wide	Oso zabala da
It's terribly far	Oso urrun dago
To be overcome by terror	Izuak gainditzea
To test him	Probatzeko
To test it	Probatzeko
To test it	Probatzeko
To contract tetanus	Tetanosa kontratatzeko
To tether it with it	Harekin amaitzeko
To tether it to a tree	Zuhaitz bati urratzeko
To tether them	Horientzat
Thanksgiving Day	Esker Emate Eguna
To thaw it back out	Kanpora urtzeko
To start to thaw it	Izotza urtzen hasteko
To start to thaw it back out	Kanporantz urtzen hasteko
Now and then	Orain eta gero
Then and there	Orduan eta han
There	Han daude
From there	Handik
In there	Han
Across there	Handik
Down there	Behean dago
Here and there	Hemen eta han
Over there on the other side	Beste aldean
A little ways over there	Han nola edo hala
A little ways from there	Handik gertu
To have a desire to go there	Hara joateko gogoa izatea
Outdoor thermometer	Aire zabaleko termometroa
To be a circular thicket	Sasi zirkularra izateko
Oak thicket	Haritz-hezurra
To be a thief	Lapurra izatea
Front surface of the thigh	Izterraren aurreko azalera
The pocket between the inner surface of the thigh and the scrotum or vulva	Izterraren barnealdearen eta eskrotoaren edo bulbaren arteko poltsikoa
Area between the thighs	Izterren arteko eremua
To be thin	Argaltzeko
To get thin	Argala lortzeko
"To ""have a thing"" for him or her"	"Beretzat gauza bat izateko"
To be thinking along the same lines as he is	Bere ildo beretan pentsatzea
To be thought	Pentsatzeko
To be thought	Pentsatzeko
To think about it in that way	Horrela pentsatu
To think alike about it	Horri buruz berdin pentsatu
To think it over	Honi buruz pentsatzeko
To think maybe	Agian pentsatzeko
To start to think about it	Horretan pentsatzen hasteko
Third day	Hirugarren eguna
In third place	Hirugarrenik
To be killed by thirst	Egarriak hiltzea
Thirteen times	Hamahiru aldiz
Thirteen hundred	Hamahiru ehunka
Thirty times	Hogeita hamar aldiz
Thirty-one	Hogeita hamaika
Thirty two	Hogeita hamabi:
This much	Hau asko
This many	Hau asko da
This way	Horrela
To be this heavy	Astuna izateko
To be this tall	Altua izateko
To be this skinny	Flako hau izateko
To be this wide	Zabala izateko
To be this little	Hau gutxi izateko
To be this tall	Altua izateko
To be this skinny	Flako hau izateko
To be this tall	Altua izateko
To be this heavy set	Set hau astuna izateko
To be this wide	Zabala izateko
To do it this way	Horrela egiteko
To do like this with it	Berarekin egiteko
Bull thistle	Zezen-kardua
To get a thorn in one	Arantza bat batean lortzeko
To have second thoughts	Bigarren pentsamenduak izatea
One thousand	mila
A hundred thousand	Ehun mila
One thousand and one	Mila eta bat
Two thousand	Bi mila
A thousand times	Mila aldiz
To strip the threads on it	Hariak bertan kentzeko
To threaten his life	Bizitza arriskuan jartzea
Three times	Hiru aldiz
Three hundred	Hirurehun
Three thousand	Hiru mila
Three million	Hiru milioi
Three of clubs	Hiru klub
Three of hearts	Hiru bihotz
Three of spades	Hiru lagun
Three of diamonds	Hiru diamante
To thresh beans	Babarrunak trillatzeko
To thresh it	Txikitzeko
Down the throat	Eztarritik behera
To cut his throat	Eztarria mozteko
To have a sore throat	Eztarriko mina izatea
To have one's throat swell shut	Eztarria itxita edukitzeko
To hold one's throat	Baten eztarriari eusteko
Gangway! Let me through!	Pasabidea! Utzi pasatzen!
To get through weaving it	Ehungailuaren bidez lortzeko
To go through danger	Arriskutik pasatzeko
To go through with it	Berarekin igarotzeko
To be unable to go through with it	Berarekin igarotzeko gai ez izateko
To break through	Honen bidez hausteko:
To break through	Honen bidez hausteko:
To throw a long way	Bide luzea egiteko
To throw a ball to him	Bola bat berari botatzeko
To throw a loop or noose at it	Begizta bat botatzeko edo begiztan ez sartzeko
To throw a Christmas party	Gabonetako festa bat egiteko
To throw arms around each other	Besoak bestearen inguruan botatzeko
To throw at them	Haiei tira egiteko
To throw snowballs at them	Haietan elur-bolak botatzeko
To throw each other	Elkarri jaurtitzeko
To throw hard	Gogorra botatzeko
To throw him a pass	Pasea botatzeko
To throw him down	Behera botatzeko
To throw it	Botatzeko
To throw it to him	Berari botatzeko
To throw it against it	Haren kontra botatzeko
To throw it in the water	Uretara botatzeko
To throw it open	Irekita botatzeko
To throw it open	Irekita botatzeko
To throw it	Botatzeko
To throw it up	Gorantz botatzeko
To throw it	Botatzeko
To throw it with great force	Indar handiz jaurtitzeko
To throw one	Bat botatzeko
To throw spears at each other	Batak besteari jaurtitzeko
To throw them away	Urrutira botatzeko
To throw them off	Kanpora botatzeko
To throw them out	Kanpora botatzeko
To throw them through it	Bertatik botatzeko
To throw them together hurriedly	Elkarrekin bizkor botatzeko
To throw a ball through it	Bertatik bola bat botatzeko
To throw up	Gorantz botatzeko
Joint of the thumb	Erpuruaren juntura
To lie thumping his tail	Gezurra esatea isatsa hiltzen
To thump one's head against it	Erpurua buruaren kontra
Thunder Man	Thunder Man
Thunder Songs	Thunder Songs
A rumble of thunder is rolłing by	Trumoi-zurrumurru bat rolicing-a da
There is the sound of thunder	Trumoiaren soinua dago
To be made thus	Horretarako
To do thus	Horrela egitea
To make it thus	Horretarako
It is thus	Beraz,
Blue sheep tick	Blue sheep tick
Deer tick	Orein-kaparra
Dog tick	Txakur kaparra
Sheep tick	Ardi-kaparraren kaparra
To tickle oneself	Kili-kili egiteko
To start to tickle him	Kili-kili egiten hasteko
To tidy it up	Noiz arte ordenatzeko
To have it tied around one's waist	Baten gerriaren inguruan lotuta edukitzeko
To tie a bow in it	Arku bat bertan lotzeko
To tie a knot	Korapilo bat lotzeko
To tie a knot in the end of it	Haren muturrean korapilo bat lotzeko
To tie a knot in it	Korapilo bat lotzeko
To tie him to it	Berari lotzeko
To tie it	Lotzeko
To tie it around oneself	Inguruan lotzeko
To tie it to him	Hari lotzeko
To tie it to it	Hari lotzeko
To tie it to a tree	Zuhaitz bati lotzeko
To tie it up with the forelegs and hind legs drawn together	Aurreko hankekin eta aurrekoetan elkarrekin marraztuta lotzeko
To tie oneself to it	Berari lotzea
To tie them together	Elkarrekin lotzeko
To tie them together	Elkarrekin lotzeko
To untie oneself	Nork bere burua deslotzea
To be tight	Estutzeko
To be tight	Estutzeko
To be tight	Estutzeko
To be tight on him	Sakatzeko
To be tight with it	Harekin estutzeko
To become tight	Estutzeko
To get tight	Estutzeko
To get tight	Estutzeko
To get tight	Estutzeko
To get tight	Estutzeko
To hold it tight	Estututa mantentzeko
To tighten it	Estutzeko
To tighten it	Estutzeko
To tighten them	Estutzeko
Tightly	Irmo
To weave it tightly	Irmo ehuntzeko
To tilt it	Okertzeko
A long time	Denbora luzea
A long time ago	Aspaldi
At one time	Une batean
At this time	Une honetan
At this time next year	Orain datorren urtean
At the same time	Aldi berean
At times	Batzuetan
Before its time	Denbora baino lehen
For a short time	Denbora laburrean
In olden times	Garai zaharretan
Just about the time when	Noiz arte
Quite a long time ago	Aspaldi
Some other time	Noiz edo noiz
To this point in time	Une honetan
To be just in time for it	Garaiz izateko
To be making pretty good time	Eguraldi ona egiteko
To be nearly time for an event	Gertaera baterako ia denbora izateko
To be on time for it	Horretarako garaiz egoteko
To be the third time for it	Horretarako hirugarren aldia izateko
To be time for it	Horretarako denbora izateko
To have a good time	Eguraldi ona izateko
To have a good time with it	Harekin denbora ona izateko
To have a nice time together	Elkarrekin eguraldi ona izateko
To have a hard time	Denbora zaila izateko
To have time with one's work	Baten lanarekin denbora izatea
To make pretty good time	Eguraldi ona egiteko
To not be on time for it	Garaiz ez egoteko
To spend time	Denbora pasatzeko
To take time out	Kanpoan denbora hartzeko
To use it a little at a time	Aldi berean pixka bat erabiltzeko
That time is it	Hau da denbora hori:
A tiny amount	Kopuru txiki bat
To tip it over	Makurtzeko
To tip it to a slanted position	Okertzeko
To tip it	Okertzeko
To tip over in it	Makurtzeko
Finger tip	Hatz punta
Its tip	Bere punta
Tips of the toes	Hatzen aholkuak
Toe tips	Hatz-puntak
To put up a tipi	Tipi bat jartzeko
On one's tiptoes	Bateko tiptoetan
To go about on tiptoes	Tiptoen gainean joateko
To walk along on tiptoes	Tiptoetan ibiltzeko
To get sick and tired	Gaixorik eta nekatuta egoteko
To get tired from being in one position too long	Jarrera luzeegian egoteaz nekatzeko
To tire out on him	Nekatzeko
To fix a flat tire	Pneumatiko lau bat finkatzeko
Up to this point in time	Honaino denboran
Up to now	Orain arte
To some point	Punturen batera
Horned toad	Apoa adarrekin
Black tobacco	Tabako beltza
Big tobacco	Big tobackoa
Sheep tobacco	Tabako-ardia
Plug tobacco	Tabakoa tapatzea
Chewing tobacco	Tabakoa mastekatzea
The joints of the toes	Hatzen artikulazioak
Big toe	Big toe
Fourth toe	Oineko laugarren hatza
Upper joint of the big toe	Hatz lodiaren goiko artikulazioa
Whorls of the toes	Hatzen whorl-ak
Toenail clippers	Clippers Toenail
Under the tip of the toenail	Toenail puntaren azpian
Together with it	Harekin batera
To get together	Elkartzeko
To be a get together	Elkarrekin get bat izateko
To bring them together	Biltzeko
To get together	Elkartzeko
To get back together	Elkarrekin itzultzeko
To get back together with him	Harengana itzultzeko
To get back together with them	Haiekin batera itzultzeko
To move together (establish a joint residence	Elkarrekin mugitzeko (baterako egoitza ezartzea
To flow together	Elkarrekin jariatzea
To run together	Elkarrekin korrika egiteko
To run together	Elkarrekin korrika egiteko
To tie them together	Elkarrekin lotzeko
Inside toilet	Barneko komuna
Where is the toilet	Non dago komun-ontzia?
Tip of the tongue	Mihiaren punta
Under the tongue	Hizkuntzaren azpian
Wagon tongue	Wagon hizkuntza
To stick out his tongue	Hizkuntza itsasteko
To stick out one's tongue	Baten hizkuntza itsasteko
To stick out one's tongue at him	Berari hizkuntza ateratzeko
Me too	Nik ere bai
My little sister too	Nire ahizpa txikia ere bai
It's too heavy	Astunegia da
It's too long	Luzeegia da
It's too wide	Zabalegia da
It's too far	Urrunegia da
Too much	Gehiegi
Grubbing tool	Grubbing tresna
Tool shed	Tresna estalgarria
Crown of the tooth	Hortzaren koroa
Eyetooth	Eietooth
Hollow tooth	Hortz hutsa
Lower teeth	Beheko hortzak
Missing tooth	Falta den hortza
