I've bought a car	kotxe bat erosi dut
it's a lavish palace	luxuzko jauregia da
she was lavish in her praise for his paintings	haren margolanak erruz goraipatu zituen
to break the law	legea urratu
in the name of the law	legearen izenean
land law	lurzoruaren legea
a lawful activity	jarduera legala
lawful heir	legezko oinordekoa
we had lunch on the lawn	zelaian bazkaldu genuen
a lax attitude	jarrera arduragabea
lax rules and regulations	araudi malgua
to lay the table	mahaia prestatu; mahaia jarri
the ozone layer	ozono-geruza
potatoes layered with onions	patata eta tipula txandakako geruzatan
to play the main lead	rol nagusia antzeztu
they found the first lead of the crime	hilketaren lehen aztarna aurkitu dute
to lead the championship	txapelketaren buru izan
to lead a discussion	eztabaida zuzendu
a leading group	talde nagusia
leafy trees	zuhaitz hostotsuak
a gas leak	gas-ihesa
a leak of a press report	prentsa-ohar baten filtrazioa
to leak water	ur tantak isuri
a leaked notification	isilean emandako jakinarazpena
a leakage of toxic waste	hondakin toxikoen isuria
lean and tall	argala eta altua
lean years	urte zailak; ezurteak
to lean out of the window	leihotik burua atera
to lean the bike against the wall	bizikleta hormaren kontra jarri
a political leaning	joera politikoa
to learn for the exam	azterketarako ikasi
to learn from the mistakes	hutsegitetatik ikasi
a ten-year lease	hamar urterako alokatze-hitzarmena
I brought your lunch; it's the least I can do	bazkaria ekarri dizut; hori behintzat egin behar nuen
he earns the least money	berak irabazten du gutxien
when you least expect it	gutxien uste duzunean
I brought your lunch; it's the least I can do	bazkaria ekarri dizut; hori behintzat egin behar nuen
leave her to think about the answer!	laga erantzuna pentsatzen!
the plane left Heathrow at 11:30	hegazkina 11:30ean atera zen Heathrow-tik
she lectures in psycholinguistics	psikolinguistika erakusten du
to the left	ezkerrera
he lives on the left-hand side of the river	ibaiaren ezkerraldean bizi da
some leftover salad	soberako entsalada
the legacy of the dictatorship	diktaduraren ondarea
the lawful heir	oinordeko legala
Greek legend	kondaira grekoa
a football legend	futboleko mitoa
legendary monsters	elezaharretako munstroak
a legendary writer	idazle ospetsua
land legislation	lurzoruaren legea
a legitimate business	legezko negozioa
to legitimate a child	ume bat legitimotzat hartu
to lend sb a hand	eskua bota
something of less value	balio txikiagoko zerbait
to eat less	gutxiago jan
the whole week, less one day	aste osoa, egun bat kenduta
it costs less than you think	zuk uste baino gutxiago balio du
to lessen the risk	arriskua murriztu
to lessen the pain	mina baretu
to a lesser degree	neurri txikiagoan
to give English lessons	ingeleseko eskolak eman
let's go back!	itzul gaitezen!
let's see	ikus dezagun
let's go shopping!	goazen erosketak egitera!
I'll let your parents know	zure gurasoei jakinaraziko diet
let me do the shopping for you	egingo dizkizut erosketak
let's go home!	goazen etxera!
let him wait!	itxaron dezala!
I'm not afraid of him, let him try!	ez diot beldurrik, utz iezaiozue saiatzen!
let's go back!	itzul gaitezen!
let's see	ikus dezagun
let's go shopping!	goazen erosketak egitera!
lethal weapons	arma hilgarriak
capital letters and small letters	letra larriak eta xeheak
pollution level	kutsadura-maila
a high level exam	maila handiko azterketa
to level the floor	lurra lautu
to levy a tax on petrol	gasolinaren gaineko zerga ezarri
lexicon of biology	biologia-hiztegia
civil liability	erantzukizun zibila
he is a liability for my work	nire lanerako traba da
to liberate the prisoners	presoak aske utzi
a library book	liburutegiko liburua
to have licence to do sth	zerbaitetarako askatasuna izan
this drug is not licensed in the USA	droga hau ez dago baimenduta AEBn
what lies behind this?	zer dago honen atzean?
the cat is lying on the sofa	katua sofa gainean etzanda dago
to lie on the grass	belar gainean etzan
the notebook lies on her bed	koadernoa bere ohe gainean dago
the snow lay half a metre deep	metro-erdiko elurra zegoen
the beaches lie to the west	hondartzak mendebaldera daude
here lies Mikel Goiburu	hemen datza Mikel Goiburu
what lies behind this?	zer dago honen atzean?
the cat is lying on the sofa	katua sofa gainean etzanda dago
a white lie	gezur txikia
to tell lies	gezurrak esan
he lied	gezurra esan digu
the judge gave him life	epaileak bizi guztirako zigorra eman zion
animal life	animalia-bizia
I'll give you a lift to the station	eramango zaitut geltokira
in the light of the research	ikerketa kontuan hartuz
light rain all day long	euri-zirina egun guztian zehar
a gentle touch	ukitu arina
in the light of the research	ikerketa kontuan hartuz
she looked around and, then, lit the cigarette	albora begiratu, eta, gero, zigarroa piztu zuen
a nicely lit shop window	ederto argitutako erakusleihoa
you took my advice lightly	nire aholkua arinkeriaz hartu zenuen
likes and dislikes	gogokoak eta gogoz kontrakoak
to be like them	haien gisakoa izan
you talk like your sister	ahizpak bezalaxe hitz egiten duzu
what did it look like?	nolakoa zen?; zer itxura zuen?
likes and dislikes	gogokoak eta gogoz kontrakoak
she likes going to the cinema	zinemara joatea atsegin du
I like chocolate	gogoko dut txokolatea
would you like tea or coffee?	tea ala kafea nahi duzu?
I'd like to talk to her	berarekin hitz egin nahi nuke
a likely outcome	gerta daitekeen emaitza
you'll very likely meet her today	seguruenik gaur ezagutuko duzu
her second marriage was likewise unhappy	halaber bere bigarren ezkontza ere zoritxarrekoa zen
to take a liking to sb	norbait begiko izan
to be in limbo	adia galduta egon
to be in the limelight	puri-purian egon
to be limited to	zerbaitetara mugatuta egon
bus lines	autobus-lineak
the telephone line went dead	telefono-linea eten egin zen
I lined the drawers with old wallpaper	tiraderak pareta-paper zaharrez forratu nituen
bed linen	oheko arropa
linguistic development	bilakaera linguistikoa
diplomatic links	harreman diplomatikoak
the word on everyone's lips at present is 'drought'	orain denen ahotan dabilen hitza "lehortea" da
the word on everyone's lips at present is 'drought'	orain denen ahotan dabilen hitza "lehortea" da
to speak with a lisp	zizipaza izan
will you listen to me?	entzungo didazu?
why didn't you listen to me?	zergatik ez zenidan jaramonik egin?
literacy rate	alfabetatze-indizea
literal translation	hitzez-hitzezko itzulpena
to take sth literally	hitzez hitz hartu
literary theory	literatura-teoria
your bedroom is littered with clothes!	zure logela arropaz kakaztuta daukazu!
a little milk	esne pixka bat
to speak a little English	ingeles pixka bat hitz egin
to understand little	gutxi ulertu
I slept very little last night	oso lo gutxi egin dut bart gauean
a little milk	esne pixka bat
to live only on vegetables	barazkiz soilik elikatu
I live in Australia	Australian bizi naiz
she lived and died peacefully	bakean bizi eta hil zen
he still lives	oraindik bizi da
to live only on vegetables	barazkiz soilik elikatu
live birds	txori bizidunak
he has a livid arm	besoa ubela du
to load up the car with luggage	ekipajea kotxean kargatu
to load the car	kotxea kargatu
to load up the car with luggage	ekipajea kotxean kargatu
a loaf of bred	ogi bat
bank loans	bankuko maileguak
to loan money	dirua mailegatu
this library loans CDs too	liburutegi honek CDak ere mailegatzen ditu
a disgusting smell	usain nazkagarria
a local television	bertako telebista
they located the shipwrecked sailor	itsasoan galdutako arrantzalea aurkitu dute
there're new lockers at the sports centre	armairu berriak daude kiroldegian
she lodged his name firmly in her mind	bere izena ondo gordezuen buruan
a lofty tower	dorre garaia
lofty principles	printzipio jatorrak
write your password and log in	idatzi zure pasahitza eta sartu
log out before switching the computer off	irten zaitez ordenagailua itzali aurretik
write your password and log in	idatzi zure pasahitza eta sartu
log out before switching the computer off	irten zaitez ordenagailua itzali aurretik
a solitary person	pertsona bakartia
to feel lonely	bakarrik sentitu
a long skirt	gona luzea
he's been ill for a long time	denbora luzean egon da gaixo
it's two metres long	bi metroko luzera du
a long time	denbora asko
have you been here long?	denbora asko daramazu hemen?
how long?	zenbat denbora?; noiztik?
all day long	egun osoa
I'm longing to see you again	zu berriz ikusteko irrikatzen nago
a longing look	irrikazko begirada
long-life batteries	iraupen luzeko pilak
a long-term unemployment	epe luzeko langabezia
to look at the newspapers	egunkariak aztertu
to look at the consequences	ondorioak hausnartu
to look back on freedom	askatasunari buruzko gogoeta egin
to look down on beggars	eskaleak gutxietsi
to look for improvements	hobekuntzak espero
I'm looking forward to the holidays	oporrak noiz iritsiko nago
to look into a new project	proiektu berri bat aztertu
look out! there's a train coming	kontuz! trena dator
they looked to the teacher for help	irakasleak lagunduko zien ustea zuten
I always looked up to my parents	beti miretsi izan ditut nire gurasoak
he looked at my eyes	begietara begiratu zidan
to look one's age	norbere adinekoa eman
look what we've found!	behatu zer aurkitu dugun!
to look east	ekialdera begiratu
to look carefully	arretaz begiratu
did you look in the wardrobe?	armairua aztertu duzu?
you look tired	nekatuta dirudizu
to look like your mother	zure amaren itxura izan
to look at the newspapers	egunkariak aztertu
to look at the consequences	ondorioak hausnartu
to look back on freedom	askatasunari buruzko gogoeta egin
to look down on beggars	eskaleak gutxietsi
to look for improvements	hobekuntzak espero
I'm looking forward to the holidays	oporrak noiz iritsiko nago
to look into a new project	proiektu berri bat aztertu
look out! there's a train coming	kontuz! trena dator
they looked to the teacher for help	irakasleak lagunduko zien ustea zuten
I always looked up to my parents	beti miretsi izan ditut nire gurasoak
you really have loony ideas!	zuk bai ideia eroak!
a loose translation	zehaztasunik gabeko itzulpena
good Lord!	Jaungoiko maitea!
the House of Lords; the Lords	Lord-en Ganbera
to lose the wallet	diru-zorroa galdu
to lose faith	sinesmena galdu
they lost the championship	txapelketa galdu zuten
we got lost in the city	hirian galdu ginen
what a lot of presents!	a zer opari-pila!
"how many do you need?" —; "a lot"	—;zenbat behar dituzu? —;asko
a lot of people, lots of people	jende asko, jende ugari, jende franko
I'm feeling a lot better	askoz hobeto nago
I care a lot about you	asko ardura zatzaizkit
what a lot of presents!	a zer opari-pila!
to speak in a loud voice	altu hitz egin
to speak loudly	garrasika hitz egin
what a lousy weather!	eguraldia bai txarra!
a lovable child	ume maitagarria
I could fall in love with you	zutaz maitemindu ninteke
football is his first love	futbola da bere lehen zaletasuna
the set ended six-love	seta sei eta huts bukatu zen
I could fall in love with you	zutaz maitemindu ninteke
I love playing the piano	pianoa jotzea oso gustuko dut
she has a lovely voice	ahots ederra du
what a lovely day!	zoragarria eguna!
his sister is a lovely person	bere arreba xarmagarria da
a loving friend	lagun maitekorra
low paid	merke ordaindutako
a low building	eraikin txikia
low grades	nota kaskarrak
low in fat	koipe gutxikoa
the lower floor	beheko solairua
don't lower yourself	ez zeure burua gutxietsi
to lower the head	burua makurtu
to lower the voice	ahotsa jaitsi
don't lower yourself	ez zeure burua gutxietsi
this vegetable only grows in the lowlands	barazki hau bakarrik lur behereetan hazten da
to remain loyal	leial izaten jarraitu
she had a lucid moment at the end of his life	argiune bat izan zuen bere bizitzaren azkenean
a lucid explanation	azalpen garbia
good luck!	zorte on!
hard luck!	zorte txarra!
to be lucky	zorionekoa izan
a lucky charm	zorte ona dakarren zinginarria
a lucrative business	irabazi handiko negozioa
a ludicrous plan	plan barregarria
do you have a lot of luggage?	fardel asko duzu?
lost luggage	galdutako ekipajea
a lukewarm response	erantzun epela
alull in the conversation	solasaldian etenaldi bat
a luminous bedroom	gela argitsua
this sauce has lumps in it	saltsa honek pikorrak ditu
a sugar lump	azukre-koxkorra
the doctor has found a lump in my breast	medikuak koskorra aurkitu dit bularrean
please, lump the students in one class	mesedez, elkartu ikasleak gela batean
lunar eclipse	ilargi-eklipsea
did you have lunch?	bazkaldu duzue?
lung cancer	birikako minbizia; biriketako minbizia
