 A certain	 léi 
By a big margin	 doo ya'akodi
To make an X-mark	 'ałná'iissoh 
To make an x-mark on it	 bik'i 'ałná'iissoh 
To make marks on oneself	 'ák'ina'asdzo
To mark a series of lines	 'ahehessóóh 
To mark him with charcoal	 yisht'eesh 
To mark it up	 bits'ą́ą́' bikáá' na'asso 
To mark on it	 bik'e'eshchí 
To mark off a piece of it	 bidissóóh 
To mark oneself up	 'ák'ina'asdzo 
To mark them	 hadaashkaał
Marriage license	 naaltsoos bik'ehgo 'ahé'éskéhígíí 
Marriage certificate	 'iigeh binaaltsoos 
To get married	 bá 'iigeh 
To get married	 'iishheh 
Married couple	 'ahídzískéii
Horn marrow	 'adeegǫ́ǫ́zh
To marry	 'iishheh 
To marry her	 bá 'iishheh
To start massacring them	 bi'niistsééd
To massage oneself	 ná'ádinish'nih
Master of ceremonies	 bik'ehgo hoogáałii
On the mastoid area	 'ajaasts'iingi
Matted wool	 'aghaa' daníímas
Have nothing the matter with one	 doo 'át'éhégóó 
What's the matter with you:	 haalá 'ánínééh: 
What the devil is the matter with	 haalá níshch'į́įdii
School matters	 'ólta' naat'i'jí 
Several matters	 t'áá díkwíígóó
Play	 badi'nish'aah 
Converging meadows	 'ahidahastso 
Meadow death camas	 'ałtsíniitsoh 
Meadow lark	 tsiiyah wozhii 
Small mountain meadow	 dah ńdzíltso
To fix a meal for him	 bitsą́ 'é'éshłééh
To talk mean about it	 yiishkóóh 
To turn mean on one	 shich'į' hashké niidzįįh 
In a mean way	 hashkéhee 
Mean person	 doo yits'ídí
To mean something to one	 bídésht'i' 
What do you mean by that? 	 'áyaańdashą' 
By means of it	 bee 
By means of oneself	 'ádee 
To be a means of transportation to	 bee hodit'ééh
To measure it	 bí'neesh'ąąh
To take its measurements	 bí'neesh'ąąh
Dried meat	 'atsį' bisgą' 
Jerked meat	 'ałk'íniilgizh 
Meat hunger	 'ach'ą́  
Mixed dried meats	 'atsį' naashchíín 
To be meat hungry	 'ach'ą́ bi'niiłhį́
To medicate oneself	 'azee' 'ádąąh 'áshnééh
Arthritis medicine	 chooyin 'azee' 
Cold medicine	 ch'iish bich'į' 'azee' 
Earache medicine	 jeeyi' hodiniih 'azee' 
Earth medicine	 łé'éze' 
Living plant medicine	 hinááh 'azee' 
Matter from under the eye fold of a deer	 bįįh bináyaa niłchiin 
Medicine cup	 'azee' bee yidlání 
The practice of medicine	 'azee' 'ál'į́į́jí 
To practice medicine	 'azee' 'ásh'į́ 
To put medicine on it	 'azee' bąąh 'áshłééh 
To put medicine on oneself	 'azee' 'ádąąh 'áshnééh 
Toothache medicine	 'awoo' diniih 'azee'
Medicine men	 hastóí ndahałáhágíí 
To be unavailable	 hataałii bé'niih
Hills meet	 'ałch'į' naalk'id 
To meet	 'áłah yiidleeh 
To meet	 'ahiiltsééh 
To meet	 bił 'ahiistsééh 
To meet again	 yah 'anáánéiijeeh 
To meet with them one time after another	 'ahanináháshkah 
Meeting house	 kin bii' 'áłah ná'ádleehé 
Meeting place	 'áłah ná'ádleehdi 
To be a meeting	 'áłah 'aleeh
To get into the melons	 dá'ák'eeshyeed
To melt it apart from it	 bits'ádíshhį́į́h 
To melt off	 náhályį́į́h 
To start to melt	 nábi'niiyį́į́h 
To be a member of a war-party on a raid	 'atah yishbah 
To be a member of it	 bee 'atah nishłį́ 
To become a member of it with him	 bił bíish'aash
Wise men	 hastóí dahóyáanii
Spinal meningitis	 'ííghą́ą́tsiighąą' dideeshchii'
To menstruate for the first time	 kinaashdaah 
To be menstruating	 chooyin nishłį́
To mention him	 bee haasdziih 
To be mentioned	 bee ha'adziih
To show him mercy	 sih baa nánísh'aah
To merge back together with them time after time	 bił 'ahanináháshkah 
To make a mess	 ts'iilzéí yishłąąh
To be messed up	 yíchxǫ́' 
To get messed up	 yichxǫ́ǫ́h 
To get messed up for one	 bits'ą́ą́' yichxǫ́ǫ́h 
To start to mess it up	 bi'niishchxǫ́ǫ́h
To carry a message among them	 hane' bitaash'á
Corrugated metal	 béésh doolk'oolígíí 
To make a metallic rubbing sound (k'azh	 ch'ik'azh) yiits'a'
To make a mewing sound	 wą́ą́' ní
Mexican food	 Naakaii bich'iyą' 
In Mexico	 Naakaiitahdi
The middle class	 diné t'áá bita'ígi 'át'éego t'áadoo le'é bee dahólónígíí 
To become the middle of it	 'ííłniih 
To become the middle of the summer	 shį́'íílniih 
To become the middle of the winter	 hai 'ííłniih 
To become the middle of the night	 tł'é'ííłniih
To become midnight	 tł'é'ííłniih
Each other's mid-section	 'ałhoozhníí'
Into each other's midst	 'ałt'ááh
Miles	 tsin naaztą́
Military officer	 hashkééjí naat'ááh
Cow milk	 béégashii bibe' 
Goat milk	 tł'ízí bibe' 
To do the milking	 'iishnih
To milk it	 yiishnih 
To start to milk	 'i'niishnííh 
To start to milk her	 bi'niishnííh
Showy milkweed	 ch'il 'abe'étsoh
Woolen mills	 'aghaa' binda'anish
To be milling back and forth	 bichánaanáálzhoł 
They mill back and forth	 'ałná 'ádaat'į́
One million	 t'ááłáhádi mííl ntsaaígíí
Lower millstone	 tsédaashjéé'
To be of one mind on it	 bee łá'í niidlį́ 
To be unable to make up one's mind	 bił hazkééh 
To bring it to his mind	 béébinishnííh 
To change one's mind about it	 'ánássįįh 
To have one's mind set on	 shíni' nlį́ 
To have in mind to go	 'atséskees 
To get on one's mind	 shíni' dinidleeh 
To have it on one's mind	 shíni' dinidleeh 
To have one's mind set on it	 bíni' bidiit'ééh 
To put it in his mind	 biyah 'aniishłįįh 
To set his mind at ease	 t'áá hats'íidgo bił hashne'
Mine shaft	 'a'áán 
Iron or copper mine	 béésh haagééd 
Coalmine	 łeejin haagééd
To start to mine it	 habi'niishgééd
Coalminer	 łeejin haigédí
To mingle with one another	 'ałtah ndaakai 
In minutes	 -dah 'alzhin ni'ílkidgo 
 minutes after the hour	 -- dah 'alzhin bee bilá'ooskid 
White mirage stone	 hadahoniye' łigai
To be missing	 yidǫ́' 
To grab for it and miss it	 baa diishchííd 
To miss	 'iissiih 
To miss him	 bitázhdiists'in 
To miss him with a stream of spit	 bitádiishsheeh 
To miss it	 bitádiishchííd 
To miss it	 bitádiishtaał 
To miss it with a kick	 bitázhdiishtaał 
To miss one's guess	 yiistsił
Catholic missionary	 'éé' neishoodii bi'éé' danineezígíí 
Protestant missionary	 'éé' neishoodii bi'éé' 'ádaałts'íísí yígíí
To be made	 'adziih 
To be mistaken for him	 bíhoni'ááh 
To make a mistake	 'iissiih 
To make a stupid mistake	 'ádi'dishch'ą́ą́h 
To occur	 'adziih 
To mistake him for him	 bínísh'ááh
To have them on	 bii' díníshnii'
To mix it with it	 bił 'ałtaanáshjooł 
To mix them together	 'ałtah nissííd 
To mix a drink or cocktail	 tódiłhił 'ałtah nissííd 
Mixed with it	 bił 'ałtah 'át'é 
High moccasins with leggings	 ké ntsaaígíí 
Tip of the moccasin	 kélátah 
To be a moccasin maker	 kélchí 'ásh'į́
Blanket curtain used in the moccasin game	 'ách'ą́ą́h ńdílbałí 
Yucca counters used in the moccasin game	 két'ą́ą́z 
The indicator with which players in the moccasin game tap the moccasins and guess the location of the hidden ball	 bee 'aditsxiłí 
To be really good at guessing the location of the hidden ball in the moccasin game	 'ayóo 'ashniih 
Mock orange bow	 'ałtį́į́' tséłkánii
To become moist	 náhoniitłeeh 
To form a moist spot	 haał'eeł
To get moldy	 dláád yileeh
In hard money	 t'áá béeso 
Money bag	 béeso bizis dáńdiit'ishí 
To get money	 béeso baa hinidééh 
To wire for money	 béeso bíká béésh łichíi'ii bee hane' 'áshłééh
Monkey bars	 béésh ndaaz'áhígíí 
Monkey wrench	 bee 'il hada'agizí 'ałch'į' ńdígisígíí 
To play monte	 ha'ii'níłí bee 'adishka'
To be of months old	 bee ńdízííd 
To spend a month	 bee ńdízííd 
Last month	 ńdeezidę́ędą́ą́' 
Next month	 nínáádeezidgo 
Monthly	 náhidizííd bik'ehgo 
Thirteenth month	 Bini Na'ał'aashí
Half moon	 'óoljéé' 'ałníí' bééłhéél 
Crescent moon	 'ooljéé' dah yiitą́ 
Full moon	 'ooljéé' hanííbą́ą́z 
To appear	 haasááł 
To become a full moon	 hanibąąs 
To become a half moon	 'oojéé' béłheeł 
More than half	 'ałníí' biláahgo 
During the morning	 'ahbínígo 
Every morning	 t'áá 'ákwíí bíní 
In the morning	 'ahbínígo 
On that morning	 'éí ba'ahbíní 
This morning	 díí 'ahbíní 
This morning	 'ahbínídą́ą́' 
To become midmorning	 dah 'adii'aah 
While it is still morning	 'ahbínídą́ą́'
Most of you	 'aghá 'ánóohłą́ą́' 
Clothing moth	 ch'osh 'ałchozhii 
Yucca moth	 hashk'aan bich'osh
To make a motion at him	 bí'díshgish 
To make motions at him	 nabé'éshgizh
To become motionless	 ninishk'aash 
To take up a static position with it	 bił ninishk'aash
Circular mound	 'ahénálk'id
To be mounded	 yanáalk'id
At the base of the mountain	 dziłtsį́įdi 
Along the base of the mountain	 dziłtsį́į́góó 
To the base of the mountain	 dziłtsį́įjį' 
Mountain Chant	 Dziłk'ijí Hatáál 
Mountain pass	 dziłgiizh 
Mountain range	 dził daní'áhígíí 
Mountain side	 dziłbąąh 
Mountain soil	 dziłleezh 
Mountain recess	 dziłtł'ah 
From the mountaintop	 dziłghą́ą́dę́ę́' 
To the mountaintop	 dziłghą́ą́'góó 
On the mountaintop	 dziłghą́ą'di 
Mountain World	 Dziłisdzáán 
On the mountain	 dziłk'i 
Over the mountain	 dziłtis 
Lion skin hat	 náshdóítsoh ch'ah
Mouth of a sack or bag	 'azis biih hool'áhági 
By word of mouth	 jiní jiní 
Inside the mouth	 'azéé' góne' 
One's own mouth	 'ázéé' 
To be going along with one's mouth full of it	 deessoh 
To get one's hand into its mouth	 bizadishchííd 
To have a mouthful of it	 dah deessoh 
To have one's mouth open	 díníshch'a 
To open one's mouth	 diishch'ééh 
To pour it into one's mouth	 'ázaasdzííd 
To put them into his mouth one after another	 bizahash'aah 
To shove it into his mouth	 bizabéshhííł 
To go along with a mouthful of it	 deessoh 
To have a mouthful of it	 dah deessoh
On the move	 yinélee 
To be on the move	 yinélee baa naashá 
They move in a compact group or crowd	 bicháilzhoł 
To be enroute moving to the mountains	 dziłgóó yishnééł 
To be in the process of moving	 bił 'oonééł 
To be moved	 bee hidilnááh 
To be moving	 heesh'nááł 
To be moving along cutting a course	 hoolghał 
To be moving along	 yinah 
To be moving along	 yilkił 
To be moving along	 yilk'oł 
To be moving along	 yiyoł 
To be moving along	 chííl bił yiyoł 
To be moving along	 hooltį́į́ł 
To be moving along	 hosiyoolts'į́į́ł 
To be moving along	 yijį́į́ł 
To be moving along	 yigah 
To be moving along with a herd	 'aneeshkał 
To be moving away from one	 t'óó sits'ą́ajį' yidił 
To be moving along slowly	 yishkił 
To be moving one's arm	 deeshnih 
To begin to move in a rhythmic manner	 dilzhíísh 
To cause it to start to move	 dishkeed 
To feel it move	 bídii'nééh 
To make it move	 hidishnááh 
To move	 'adíníl'aah 
To move	 naastaz 
To move about	 naajį' 
To move about	 naabe' 
To move about	 naagaah 
To move about	 nahashłe' 
To move about in a stooped position	 naashyiish 
To move across	 ha'naa ninishnééh 
To move across	 bił tsé'naa ni'ínééh 
To move along on one's buttocks	 heeshjį́į́ł 
To move along on one's rump	 heestsił 
To move along skipping	 heesht'eeł 
To move around from place to place	 bił tá'dínééh 
To move around from place to place	 tádíshnééh 
To move around in a circle en masse	 'ahénázééh 
To move around on one's buttocks	 nahastsaad 
To move it aside	 nahjį' kóshłééh 
To move it aside by pushing first one side and then another	 nahjį' hidish'aah 
To move it aside by pushing first one side and then another	 nahjį' hidishtįįh 
To move away	 yóó' 'ahosiilts'įįh 
To move away	 yóó' 'iishnééh 
To move away	 bił 'e'enééh 
To move away burning	 'adik'ą́ą́h 
To move away from each other	 'ałts'ánii'nééh 
To move away from him	 bits'áníshnééh 
To move away from it	 bił bits'á'ínééh 
To move away one after another	 yóó' 'ahii'nééh 
To move back to a location	 bił ná'í'nééh 
To move for its approval	 bee lą́ 'adooleeł dishníigo bee hidishnááh 
To move forward	 náás kóshnééh 
To move in front of it	 bich'ą́ą́h 'e'ejooł 
To move in with one another	 'ahiih yii'nééh 
To move it	 hidishnááh 
To move it	 nahashná 
To move it forward	 náás kwááshłiił 
To move one's bowels	 'ashchį' 
To move one's shoulder up and down	 shiwos dah naashkid 
To move out on one's buttocks	 ch'íhinistsáád 
To move swiftly leaving a trail or wake	 dzoosih 
To move them	 daashnil 
To move up	 bił ha'anééh 
To move up one after another	 hahii'nééh 
To start off moving	 bił dah 'adiinééh 
To start off moving one's residence	 dah diishnééh 
To start off one after another moving	 dah hidii'nééh 
To start to move	 dilkeed 
To start to move	 ńdiish'nééh 
To start to move along	 dah hosidiilts'įįh 
To start to mow it	 bi'niishshééh
We'll wait and see how much	 díkwíínee'
Mud Clan	 Hashtł'ishnii 
To have a mud-slinging match with him	 hashtł'ish bił 'ahííníshtłeeh
To be muddy	 hashtł'ish t'éiyá
Arm muscle	 'agaandoh 
Calf muscle	 'ach'ozh 
Muscle at the back of the neck	 'atsiiyastáán 
Muscle of the back	 'anágháhá 
Muscle of the larynx	 'azoołtsį' 
Muscle under the femur	 'atahazhosh 
Upper arm muscle	 'adoh 
Upper leg muscle	 'atahazhosh 
Muscle cramp	 'adoh dah diik'ąąd
Mush eating	 'oolts'ee 
To make cornmeal mush	 ta'ashnííł
Cobbler's nail	 ké bił 'adaalkaałí 
Fingernail	 'áláshgaan 
Toenail	 'akéshgaan
To nail it down	 bił 'e'eshkaał
To be named	 'ats'á'nííł 
To be named thus	 'íinishyé 
To be named for him	 biinishyé 
To be named	 bee ha'adziih 
To become or be one's name	 'íinishyé 
To call each other insulting names	 'ahííníidziih 
To call names	 'íínísdziih 
To call off their names	 bitaa'ííníshshí 
To call one's own name	 'ádííníshjí 
To name oneself	 'ádííníshjí 
To engage in a name calling contest with him	 bił 'ahíínísdziih 
To have the name	 yinishyé 
To name him	 yíníshshí 
To name him	 bee haasdziih 
To name it as one's first choice or preference	 'alą́ąjį' bee haasdziih 
To name them off	 bitaa'ííníshshí 
To name them as members of a committee	 'ats'áníshnííł 
To take a name	 'ádííníshjí 
To utter one's own name	 'ádííníshjí
To be napping	 'ashhosh
Sanitary napkin	 tł'eestsooz
To be narrated	 baa nahane'
To begin a narrative	 'aho'niishnííh
To be very narrow	 'adiyootsází 
It narrows	 deekį́
The Navajo Reservation	 Diné Bináhásdzo 
Navajo Medicine	 T'áá Dinéjí 'aze'ígíí 
Navajo food	 T'áá Dinéjí ch'iyánígíí 
The old Navajo country	 Dinétah
The upper crossing on Navajo Canyon southwest of the juncture of the Colorado and San Juan Rivers	 Gishí Bikéyah
Nuttail sunflower	 ndíyílii niłchinítsoh 
Sunflower bug	 ndíyílii bich'osh
From far and near	 'aheedanízaadę́ę́'
Very nearly	 t'óó k'asídą́ą́'
Around the neck	 'ak'os gónaa 
From the back of the neck	 'ak'os bine'dę́ę́' 
From the side of the neck	 'ak'os biniidę́ę́' 
Muscle at the back of the neck	 'atsiiyastáán 
On the side of the back of the neck	 'atsiiyastáahgi 
Scruff of the neck	 'atsiiyah 
Spinal neck tendons	 'ak'oniłt'i' 
To put a rope around its neck	 bizénásht'ih 
To put it around his neck	 bízéédéestsóós 
Sewing needle	 tsah bee ná'áłkadí 
Darning needle	 tsah názhahígíí 
Evergreen needle	 'ił
To needle each other	 bił 'ahé'ésts'ih
To be his neighbor	 bił kééhasht'į́ 
My neighbor	 bił kééhasht'íinii
Anywhere in our neighborhood	 t'áá haa'í da nihit'áagi
Husband's brother's or sister's child	 hazhá'áád nishłį́ 
Wife's brother's or sister's child	 haadaaní nishłį́
Phrenic nerve	 'ajéí ndiníbaalí bits'óóz 
To be unable to get up enough nerve	 t'óó bich'į' yishtiih 
